series,time,Class
0,1.091,1
0,1.097,1
0,1.102,1
0,1.108,1
0,1.113,1
0,1.125,1
0,1.13,1
0,1.136,1
0,1.141,1
0,1.147,1
0,1.152,1
0,1.163,1
0,1.169,1
0,1.175,1
0,1.18,1
0,1.191,1
0,1.197,1
0,1.202,1
0,1.207,1
0,1.219,1
0,1.225,1
0,1.23,1
0,1.236,1
0,1.241,1
0,1.246,1
0,1.258,1
0,1.264,1
0,1.269,1
0,1.275,1
0,1.28,1
0,1.291,1
0,1.297,1
0,1.303,1
0,1.308,1
0,1.313,1
0,1.324,1
0,1.33,1
0,1.335,1
0,1.342,1
0,1.347,1
0,1.358,1
0,1.363,1
0,1.369,1
0,1.374,1
0,1.386,1
0,1.391,1
0,1.397,1
0,1.402,1
0,1.408,1
0,1.419,1
0,1.425,1
0,1.43,1
0,1.436,1
0,1.441,1
0,1.447,1
0,1.452,1
0,1.463,1
0,1.469,1
0,1.475,1
0,1.48,1
0,1.486,1
0,1.491,1
0,1.502,1
0,1.508,1
1,0.395,1
1,0.401,1
1,0.406,1
1,0.417,1
1,0.422,1
1,0.429,1
1,0.434,1
1,0.44,1
1,0.445,1
1,0.451,1
1,0.456,1
1,0.461,1
1,0.473,1
1,0.479,1
1,0.484,1
1,0.49,1
1,0.495,1
1,0.5,1
1,0.511,1
1,0.518,1
1,0.523,1
1,0.529,1
1,0.534,1
1,0.539,1
1,0.55,1
1,0.557,1
1,0.562,1
1,0.567,1
1,0.573,1
1,0.578,1
1,0.589,1
1,0.595,1
1,0.601,1
1,0.606,1
1,0.612,1
1,0.617,1
1,0.628,1
1,0.634,1
1,0.639,1
1,0.645,1
1,0.651,1
1,0.656,1
1,0.667,1
1,0.673,1
1,0.678,1
1,0.683,1
1,0.69,1
1,0.695,1
1,0.701,1
1,0.712,1
1,0.717,1
1,0.722,1
1,0.729,1
1,0.734,1
1,0.74,1
1,0.745,1
1,0.751,1
1,0.756,1
1,0.761,1
1,0.767,1
1,0.773,1
1,0.784,1
1,0.79,1
1,0.795,1
2,0.188,1
2,0.194,1
2,0.199,1
2,0.21,1
2,0.215,1
2,0.222,1
2,0.227,1
2,0.233,1
2,0.243,1
2,0.249,1
2,0.254,1
2,0.26,1
2,0.266,1
2,0.277,1
2,0.282,1
2,0.288,1
2,0.293,1
2,0.299,1
2,0.305,1
2,0.316,1
2,0.321,1
2,0.327,1
2,0.332,1
2,0.338,1
2,0.343,1
2,0.35,1
2,0.355,1
2,0.36,1
2,0.366,1
2,0.377,1
2,0.382,1
2,0.388,1
2,0.394,1
2,0.399,1
2,0.405,1
2,0.41,1
2,0.416,1
2,0.421,1
2,0.427,1
2,0.433,1
2,0.438,1
2,0.444,1
2,0.449,1
2,0.46,1
2,0.465,1
2,0.471,1
2,0.477,1
2,0.483,1
2,0.488,1
2,0.494,1
2,0.499,1
